ID,Block,Gender,Hhsize,HousingType,Idimp,Iddiff,Idinsult,ViolNorm1,ViolNorm2,PeerBlameJ,PeerBlameH,PeerBlameD,NoMeeting,LeadBlameJ,LeadBlameH,LeadBlameD,EmotJob1,DegrEmotJ,EmotJob2,EmotHous1,DegrEmotH,EmotHous2,SAPosNow,SAPosNorm,ForPosNow,ForPosNorm,EmotPos1,DegrEmotPos,EmotPos2,LiveAlex08,ParticToyi,ParticIntim,ParticLoot,ParticHelp,ParticHarm,ParticDestr,IntendToyi,IntendToyi2,IntendHelp,IntendHit,IntendDestr,Age,AttendCh,Married,YrsAlex,Working,JobR,Lang,Party,Education,Ownership,HaveElect,HaveTV,HaveCell,HaveFridge,HaveMicro,HaveComp,HaveCar
10078,S4,2,3,5,1,4,1,5,2,4,3,4,0,NA,NA,NA,9,NA,NA,8,2,6,5,6,3,4,1,2,9,2,NA,NA,NA,NA,NA,NA,4,4,4,4,4,21,1,3,2,7,never worked,4,3,2,1,2,NA,2,2,1,2,1
10079,S2,1,2,5,1,3,2,4,1,2,2,4,0,NA,NA,NA,3,1,8,5,1,8,4,6,3,2,6,1,8,1,3,3,3,3,3,3,1,1,4,4,4,49,3,2,77,7,cleaner,1,88,1,1,2,2,2,2,1,1,1
10080,S4,2,2,5,1,4,4,5,1,3,4,4,0,NA,NA,NA,1,2,2,9,2,6,4,7,2,6,1,2,1,1,3,3,3,3,3,3,4,4,1,4,4,19,1,3,77,5,never worked,2,8,3,1,2,2,2,2,2,1,1
10081,S8,2,1,6,3,2,2,5,1,1,1,2,0,NA,NA,NA,9,9,6,8,1,6,2,5,2,4,8,2,6,1,3,3,3,3,3,3,4,4,1,4,4,61,2,1,11,1,domestic worker,4,3,2,2,2,2,2,2,2,1,2
10082,S8,1,3,6,4,4,2,2,3,2,2,2,2,2,3,9,8,1,6,6,2,4,1,4,4,3,7,1,4,1,1,3,3,3,3,3,1,1,4,4,4,35,3,2,13,7,driver,4,1,2,2,2,2,2,NA,2,1,1
10083,S8,2,2,5,9,2,3,4,3,2,2,2,0,NA,NA,NA,6,3,8,4,1,8,3,4,4,4,8,4,9,2,NA,NA,NA,NA,NA,NA,3,3,3,4,4,25,2,3,2,2,supermarket,1,99,3,1,2,2,2,2,2,1,2
10084,H1,1,2,4,2,4,3,4,2,1,2,2,3,4,4,4,6,2,8,4,2,8,3,5,4,4,4,2,7,1,NA,NA,NA,NA,NA,NA,3,3,3,4,4,23,4,2,3,2,construction,1,7,2,2,2,2,2,2,1,1,1
10085,H1,1,3,4,1,2,3,4,2,1,2,2,3,2,2,9,3,1,6,3,1,8,3,4,3,3,6,2,4,2,NA,NA,NA,NA,NA,NA,1,1,4,1,1,25,4,2,2,7,cleaner,1,7,2,2,2,2,2,2,1,1,1
10086,H1,1,2,4,1,3,2,5,1,2,1,1,5,1,1,1,6,1,8,6,1,8,1,5,5,1,3,2,7,1,3,3,3,3,3,3,4,4,4,4,4,70,1,1,19,6,miner,1,2,1,2,2,2,2,2,1,1,1
10087,H1,1,3,4,1,3,2,4,2,2,2,9,0,NA,NA,NA,9,4,1,6,2,8,2,4,4,5,6,2,99,2,3,3,3,3,3,3,4,4,3,4,4,32,1,1,2,7,domestic worker,1,3,1,3,2,2,8,2,1,1,2
10088,H1,1,4,4,1,2,1,5,1,2,2,2,0,NA,NA,NA,3,1,8,3,2,7,1,5,1,4,8,2,6,1,3,3,3,3,3,3,3,3,1,4,4,38,2,1,18,1,security guard,1,2,3,2,2,2,2,2,1,1,1
10089,H1,2,2,4,3,3,3,3,3,2,2,4,0,NA,NA,NA,7,1,6,7,2,8,3,5,4,9,6,2,99,2,NA,NA,NA,NA,NA,NA,4,4,9,4,4,28,2,2,2,2,waiter,1,8,3,3,2,2,2,2,1,1,2
10090,S18,2,3,5,1,2,4,2,1,1,1,2,0,NA,NA,NA,1,1,9,6,2,9,4,6,3,9,9,2,99,1,3,3,3,3,3,3,4,4,4,4,4,18,2,3,77,1,retail assistant,4,3,3,1,2,2,2,2,2,2,2
10091,S17,2,3,6,1,1,3,4,1,1,1,1,4,2,2,2,8,1,6,8,1,7,2,5,4,1,8,1,6,1,3,3,3,3,3,3,1,1,1,4,4,65,1,4,77,6,technician,3,3,2,2,2,2,2,2,2,1,2
10092,S17,1,1,6,1,4,2,3,3,1,2,2,0,NA,NA,NA,4,2,6,4,1,8,3,5,9,1,3,2,6,1,3,3,3,3,3,3,1,1,4,2,3,29,4,2,10,2,driver,2,3,2,1,2,2,2,1,1,1,1
10097,S8,2,3,5,1,4,5,1,5,1,4,4,0,NA,NA,NA,6,1,7,8,1,7,5,6,6,6,7,1,6,2,NA,NA,NA,NA,NA,NA,4,4,4,4,4,23,2,3,5,2,auditor,1,3,3,1,2,2,2,2,1,1,1
10098,S8,1,2,2,1,1,2,2,1,2,2,1,2,4,4,4,4,1,3,3,1,4,3,7,3,1,6,1,3,1,1,3,3,3,1,1,1,1,4,1,1,33,4,2,8,1,taxi driver,1,88,2,1,2,2,2,1,1,1,1
10099,S8,1,4,2,1,3,1,4,2,2,2,2,0,NA,NA,NA,3,1,4,4,1,3,4,7,4,2,3,1,6,1,3,3,3,3,3,3,1,1,4,1,1,28,4,2,8,2,retail assistant,1,88,2,2,2,2,2,2,1,1,1
10100,S8,2,6,2,1,4,1,5,1,2,2,3,0,NA,NA,NA,3,1,4,4,1,6,4,7,3,1,6,1,4,1,3,3,3,3,3,3,1,1,1,1,1,37,1,2,37,2,sales,1,3,3,2,2,2,2,2,2,1,1
10101,S9,2,1,5,1,3,1,4,1,2,1,4,0,NA,NA,NA,6,1,4,3,1,4,4,6,4,2,6,1,4,1,3,3,3,3,3,3,4,4,4,4,4,26,2,2,26,1,auxilliary worker,1,3,3,1,2,2,2,2,2,1,1
